Trace,Prefetcher,IPCI,Delta IPCI,Coverage,Overprediction,Accuracy,MPKI
Average,bop,2.2497864683436655,-,0.9030064828793569,0.0023768079101491,0.9624072981309526,1.208634359892188
Average,spp,2.1457560763012795,-,0.8100097999711142,0.024913333695284222,0.915030606521331,2.3677093676902734
Average,vldp,2.015987558238044,-,0.8244689809105774,0.002170366194877823,0.9693673171265625,2.187343722661329
Average,ampm,1.41285582932814,-,0.4227914017908091,0.15276935067147301,0.7257950924642764,7.191768727489805
Average,sms,2.0604128347942203,-,0.8533565773536488,0.05080505786479042,0.7041799027787644,1.8271124771928524
Average,bingo_thresh020,1.9642613084474598,-0.28552515989620564,0.8138286800173462,0.04762022519220211,0.7448283451415946,2.3196156104138677
Average,no,1.0,-,0.0,0.0,-,12.459174766218679
mix1,bop,2.2497864683436655,-,0.9030064828793569,0.0023768079101491,0.9624072981309526,1.208634359892188
mix1,spp,2.1457560763012795,-,0.8100097999711142,0.024913333695284222,0.915030606521331,2.3677093676902734
mix1,vldp,2.015987558238044,-,0.8244689809105774,0.002170366194877823,0.9693673171265625,2.187343722661329
mix1,ampm,1.41285582932814,-,0.4227914017908091,0.15276935067147301,0.7257950924642764,7.191768727489805
mix1,sms,2.0604128347942203,-,0.8533565773536488,0.05080505786479042,0.7041799027787644,1.8271124771928524
mix1,bingo_thresh020,1.9642613084474598,-0.28552515989620564,0.8138286800173462,0.04762022519220211,0.7448283451415946,2.3196156104138677
mix1,no,1.0,-,0.0,0.0,-,12.459174766218679
